interval_label,original_cluster,chunk_cluster,weighted_row_share
6-10,1,18,0.00490079365079365
6-10,1,19,0.0075
6-10,2,0,0.0
6-10,2,1,0.0037037037037037034
6-10,2,2,0.5285714285714286
6-10,2,3,0.048214285714285716
6-10,2,4,0.2378306878306878
6-10,2,5,0.008465608465608464
6-10,2,6,0.0
6-10,2,7,0.004166666666666667
6-10,2,8,0.0
6-10,2,9,0.008928571428571428
6-10,2,10,0.015277777777777777
6-10,2,11,0.0
6-10,2,12,0.0
6-10,2,13,0.0
6-10,2,14,0.0
6-10,2,15,0.00972222222222222
6-10,2,16,0.13511904761904764
6-10,2,17,0.0
6-10,2,18,0.0
6-10,2,19,0.0
6-10,3,0,0.01243078626799557
6-10,3,1,0.019545957918050944
6-10,3,2,0.0028423772609819124
6-10,3,3,0.4876799557032115
6-10,3,4,0.22554448135843483
6-10,3,5,0.025286083425618305
6-10,3,6,0.003617571059431525
